cornyield_smooth1960,cornyield_smooth1970,cornyield_smooth1975,cornyield_smooth1980,cornyield_smooth1990,cornyield_smooth2000
23.540001,37.059998,38.779999,33.880001,,
22.58,36.279999,36.619999,,,
42.260002,47.860001,51.779999,38.059998,84.68,
35.540001,41.560001,50.060001,54.419998,,
34.299999,51.079998,49.219997,55,75.120003,109.48
28.559999,40.52,44.279999,32.279999,,
27.42,44.32,44.099998,44,77.620003,
26.940001,40.200001,56.399998,54.98,88.620003,
19.879999,30.32,48.48,43.459999,,
27.780001,44.759998,35.18,53.68,77.860001,
30.440001,40.18,49.380001,67.099998,107.08,127.22
22.24,39.700001,50,46.580002,65.440002,
25.219999,34.419998,,33.32,,
30.42,41.279999,45.5,44.579998,59.880001,
32,47.939999,49.580002,59.18,85.360001,89.440002
31.139999,33.34,55.540001,92.5,129.17999,168
32.299999,47.240002,50.48,38.700001,,
30.02,34.240002,39.200001,49.459999,,
26.66,42.919998,38.560001,55.98,90.860001,71.599998
35.5,45.959999,54.779999,77.139999,105.2,102.12
20.960001,30.84,47.079998,34.48,,
16.18,25.799999,,41.5,,
34.540001,44.540001,53.02,45.419998,62.079998,91.419998
29.799999,41.720001,47.52,39.48,66.160004,72.400002
21.379999,35.52,38.760002,50.68,80.959999,112.6
35.739998,44.540001,49.200001,60.119999,101.78,129.62
36.739998,44.16,48.5,67.400002,75.260002,74.779999
33.18,43.459999,54.779999,59.959999,89.919998,112.6
32.860001,45.900002,50.399998,46.720001,66.239998,95.260002
20.84,33.580002,41.34,32.220001,54.880001,
24.879999,35.639999,42.740002,34.66,,
25.58,38.619999,51.720001,59.639999,81.739998,116.48
23.42,39.740002,47.880001,49.119999,77.379997,
45.720001,61.439999,69.739998,71.839996,80.080002,
23.700001,36.099998,48.420002,55.02,,
33.419998,47.900002,54.18,56.18,70.940002,100.4
26.58,31.559999,41.02,30.620001,,
38.540001,44.860001,50.200001,55.16,68.400002,54.860001
23.299999,34.5,44.299999,36.040001,46.380001,
26.5,35.939999,44.079998,40.760002,78.659996,109.1
39.32,47.16,49.639999,58.260002,56.52,66.5
23.960001,41.32,45.100002,50.139999,73.860001,
24.459999,47.66,45.900002,49.200001,92.019997,
37.48,56.920002,59.98,67.339996,83.220001,94.059998
29.380001,44.139999,47.48,59.639999,74.620003,
26,38.380001,42.099998,57.5,89.419998,116.2
22.84,32.860001,41.380001,42.279999,,
18.76,34.459999,45.279999,37.900002,66.659996,
29.58,41.900002,48.66,56.84,87.599998,100.84
,,89,106.96,134.56,154.10001
,,,,,
,,,,,
,,,,,
,,,,,
,,,82.400002,,
,,,,,
,,,,,
,,,,,
,,,81.599998,,
,,,,,
,,,,,
,,,,,
,,88.900002,104.76,130.53999,165.73999
,,,,,
,,82.400002,95.459999,,156.02
,,,,,
,,,,,
,,,,,
,,82,105.96,122.98,149.78
,,,84,95.660004,144.60001
,,,,,
,,84.199997,101.96,130.44,152.28
,,85.800003,98.919998,136.38,149.02
,,,,,
,,,,,
,,85.599998,101.36,121.02,138.03999
,,,,,
,,,,,
,,,,,
,,,,,
,,81.599998,92.879997,,162.14
,,,,,
,,80.199997,93.459999,,
,,,,,
,,,,,
,,87,104.4,126.68,151.98
,,86.599998,105.34,120.32,164
,,,,,
,,,,,
,,,,,
,,88,102.36,122.74,144.95999
,,,,,
,,85.800003,103.94,108.14,
68.400002,91.800003,84.199997,108.8,106.4,144.60001
48,67.599998,78,90.400002,101.2,122.8
57.200001,69.599998,73.800003,95,100.2,115.8
79.199997,103.8,98,122.4,109.4,145.39999
