cornyield_smooth1980,cornyield_smooth2000
82.800003,93.400002
86.800003,
77.599998,85.800003
101.2,98.400002
93.599998,96.599998
84.800003,90.599998
86.599998,130
89.599998,
84.599998,92.400002
86.599998,
80.400002,121
83.199997,88.800003
84.599998,103
80.199997,85.199997
93.599998,124.2
93.599998,112
,
99.400002,107.2
83.599998,97.599998
99.800003,122.8
95.199997,99.199997
88.199997,122.2
88.400002,112
73.400002,
99,109.4
90.400002,91.599998
87.199997,
72.800003,103.4
94.599998,116.6
83.599998,102.8
83.199997,
78.400002,
88.199997,95
88,112.2
78.199997,110.6
101,127.6
76,112.8
82.800003,108.6
,
101.8,125.4
89.199997,108.8
77.599998,
93.199997,128.2
73,107
,
101,94.400002
95.400002,107.8
81,
90.800003,95.400002
78.599998,101
80.199997,97.800003
92.800003,90.800003
85,
85.199997,103
89.800003,117.4
87.800003,
95.400002,128.39999
100.4,123.4
87.599998,
78.400002,
91.400002,105.8
,
81,
87.599998,113
82.199997,
86.199997,104.8
87,
81,113.4
91,94.800003
94.800003,113.8
104.4,119.8
92.800003,103
96.599998,114
94.599998,125.4
83.400002,124.2
92,
106,132.60001
95.800003,126.6
91.199997,105.2
95.400002,128.8
97.400002,117
74.199997,107
88.400002,
101.6,107.8
,
42,
59,
,
65.019997,105.78
53.66,
37.34,
40,
56,111.36
,
,
,
65.779999,110.94
46.279999,
62.540001,102.02
38.34,
54.5,
,129.46001
60.68,
60,
63.48,129.42
,
,
70.620003,
36.200001,
,
69.5,
,
,
34,
49,
71,119.14
,135.25999
,107.66
,
53.34,
,
72.639999,127.68
78.059998,119.3
,
49,117.4
,
,
45,
,
,
88.18,109.82
63.98,
,
51,
58.84,
63,118.2
,
,
47,
42.579998,
54.599998,
,
,
51.200001,123.54
58.220001,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
86.199997,
86.800003,109.7
93.599998,120.08
76.400002,99.019997
93.480003,129.22
92.519997,108.96
97.599998,112.06
78,95.139999
100.3,123.8
88.599998,97.919998
93.18,
94.400002,111.02
97.400002,100.28
103.6,115.02
92.82,99.139999
79.199997,94.32
104.34,128.14
70.160004,96
92.400002,131.42
102.86,108.54
86.760002,91.699997
90.199997,110.44
92.300003,119.6
,
,
,
,
,
,
,
,
,
,
84,
,
91.68,120.6
74.419998,84.599998
73,
94.919998,110
,
91.82,120
101,125
73.480003,
90.68,120.8
99.739998,122.6
97.860001,112.4
96.919998,107
80.32,
78.779999,
,
74.940002,
98.160004,115.6
,
76.559998,
77,
97.080002,128.8
75.900002,
92.580002,99.800003
80.879997,
,
70.839996,85.400002
104.12,120.2
95.160004,112.2
76.480003,
101.1,128.39999
94.540001,122.2
98,129.2
84.559998,
,
83.139999,110.2
90.300003,107.4
95.639999,112
72.68,
91.919998,117
,
69.279999,
90.519997,115.2
79.340004,
103.94,126.4
89.919998,109.4
,
78.779999,
88.720001,115.4
70.959999,
,
74.419998,
80.760002,109.4
77.520004,
100.6,123.6
78.5,117.6
102.26,130.2
91.360001,110.2
79.120003,
75.160004,97
80.739998,102.6
82.620003,
76.559998,
82.620003,111.6
,
76.639999,
79.32,
76.659996,
94.68,112.2
76.599998,
,
101.46,123.2
89.220001,110.8
102.46,120.6
96.239998,127.8
,
93.639999,107.4
103,123
90.040001,107
88.660004,111.2
91.139999,
69.220001,
79.800003,
85.779999,111.6
72.300003,104.8
67,97.199997
86.879997,117.4
82.019997,140.2
112.6,152.8
109.64,151.60001
75.660004,
110.16,156.2
71.800003,104.8
95.059998,157.60001
82.480003,120
80,119
66.400002,102.8
113.64,146.60001
64.199997,101.4
107.9,150.8
117.64,158.39999
75.400002,132.2
124.28,150.39999
114.72,153
118.8,150.8
113.96,158.60001
84.660004,149.39999
102.58,139.39999
119.8,150
73,130.8
86.360001,118.6
70.800003,
121.22,143.60001
78.279999,119.4
101.6,155.2
,92
,
86.639999,140.8
,
,
108.2,149.8
84.199997,136.39999
95,144
112.66,156.60001
72.199997,113
63.599998,93
127.4,153.39999
102.52,142
89.599998,117.6
77.599998,118.6
118.8,152.39999
97.5,142.39999
116.74,158
103.02,137.60001
67.800003,106.8
113.9,157
76.220001,131
59.400002,104.4
80.800003,111.4
83.300003,137.2
70.800003,108.2
90,152.2
89.199997,
70.800003,104.8
107.98,151.39999
110.92,160
111.86,151.39999
106.7,147.2
58.400002,88.800003
,
108.94,149.60001
93.440002,122.6
116.8,161
90.400002,134.8
115.16,153.2
98.400002,154.39999
96.099998,153.60001
77.599998,114.8
69,150.2
113.8,161.2
73,110.6
123.78,154
