prec_smooth1980,tavg_smooth1980,dday31C_smooth1980,prec_smooth1990,tavg_smooth1990,dday31C_smooth1990,prec_smooth2000,tavg_smooth2000,dday31C_smooth2000,Cluster
68.611588,23.583538,63.109306,60.896923,23.3909,41.727139,44.005177,24.304478,65.537132,1
70.556282,23.694532,68.17392,61.359425,23.315895,42.12376,44.170658,24.206753,65.643402,1
53.610252,22.557732,57.541935,54.738731,22.187006,35.08268,52.868568,22.661882,42.593983,1
73.4655,23.419458,52.623985,61.329422,23.143238,37.223347,50.769279,24.049128,53.369011,1
71.296051,23.447142,74.099281,68.780167,23.272423,49.282558,50.720806,23.928247,72.132957,1
63.2672,23.123833,82.797844,71.055008,22.48868,47.518463,59.891109,23.418808,80.473351,1
59.448639,21.877947,42.804249,62.731018,21.257187,23.64415,52.998791,22.152409,42.729149,1
58.999088,23.286821,80.983109,67.956284,22.90983,58.510532,57.127155,23.838179,90.839058,1
64.405922,23.856417,92.786003,73.804985,23.307178,53.650703,55.347691,24.170244,95.09568,1
55.349831,22.108061,57.791843,59.777332,21.744366,38.528366,50.990643,22.672167,59.758774,1
60.787251,21.968807,45.626183,66.390869,21.584225,27.833517,53.490433,22.522539,49.37431,1
62.848152,23.982153,70.984657,71.082146,23.641298,51.003716,52.141693,24.513777,84.463715,1
64.92485,22.468489,59.761665,65.727264,22.038225,38.138943,53.233562,22.953266,64.051315,1
61.287575,21.649044,36.816978,65.313683,21.257669,26.164831,62.734222,22.17905,40.218616,1
69.457069,23.300631,66.57058,61.806026,23.069883,44.035763,48.027309,23.885952,67.143532,1
69.922241,23.383341,60.795597,60.591946,23.17873,40.770454,47.740494,24.008652,58.993408,1
54.43082,22.990299,74.55526,64.056091,22.604067,48.562592,51.608681,23.703848,83.210732,1
5.2342691,19.149727,28.851189,3.995399,19.55003,25.035589,5.4347677,19.429939,37.291466,0
8.6358442,13.898628,4.0736389,8.1587448,14.631623,4.5332665,7.4323354,14.466222,5.2745576,0
14.018477,20.268116,65.579582,10.109341,20.702438,64.297783,13.163928,20.591867,70.791916,0
9.9842834,21.1015,74.018333,8.7683363,21.945871,96.204445,9.5579338,21.507772,90.903793,1
12.40554,20.465864,74.225754,9.0393114,20.670532,69.61158,11.627268,20.785635,81.446472,1
6.0728354,21.36459,86.98436,5.4936757,22.067917,99.234711,6.5417771,21.65629,89.902618,1
4.8270426,20.312265,34.289692,3.8698101,20.694244,35.669296,4.9124327,20.640913,45.692806,0
40.583958,13.543819,0.008082709,35.073586,14.0904,0.000557638,25.947672,13.51965,0.002186384,0
17.620232,19.295511,45.417366,12.939423,20.231794,50.880352,16.49959,19.90147,49.459343,0
3.5175183,22.262051,113.66057,2.8121147,23.036964,119.52629,3.7589729,22.829769,127.16994,1
8.4011297,20.925724,73.008728,7.7470031,21.661297,88.468384,8.7448101,21.181787,79.872879,1
20.222208,13.760022,0.90212619,17.254063,14.169889,1.2603382,13.176024,13.94148,1.0104667,0
1.8900779,28.630661,434.20053,2.1254044,28.718349,403.66531,1.2328657,28.910561,447.51208,1
4.1442242,18.995089,66.046021,2.9836674,19.600025,66.121078,3.1297805,19.401869,83.128479,0
3.7108455,23.481264,139.79834,2.013881,23.695585,134.48924,3.748076,23.503292,146.2131,1
3.4760108,22.72567,126.59696,2.4179542,23.408596,126.32245,3.633853,23.477757,152.03877,1
11.313174,19.182005,60.126675,9.0682821,19.583391,52.529064,10.832199,19.171936,48.869431,0
10.797026,13.99046,9.6105003,10.425318,14.899942,11.415845,10.933396,14.877468,12.678928,0
3.1130755,21.346497,90.346466,2.1059508,22.120504,85.692192,4.5037346,22.400826,120.39937,1
4.7127757,21.713127,97.411758,4.0504036,22.386456,101.01033,5.2608652,22.102386,103.04315,1
8.7427845,16.260086,2.6517489,8.1944075,16.670715,1.9423785,8.8970861,16.310915,3.043515,0
6.2937236,21.450157,86.961029,4.7061377,22.074427,87.347672,6.4253244,21.777853,89.839111,1
15.976336,15.899482,9.9118872,13.826411,16.252863,8.5778236,12.381021,15.872249,8.210824,0
4.6731205,21.492796,84.441147,4.1074891,22.110283,90.768532,4.9533973,21.926224,92.887138,1
11.221396,13.686218,8.084836,11.381589,14.622645,11.55226,11.419091,14.410446,12.242107,0
7.7842264,13.746883,9.2761793,7.8512039,14.385318,9.084631,6.8318448,14.194628,10.498923,0
5.2840071,17.391064,19.760889,3.0020661,17.961468,20.284096,4.619813,17.562262,22.372768,0
8.464159,18.398088,23.067223,6.8075705,18.741648,17.33733,7.9117975,18.669382,23.410635,0
15.884923,19.576464,52.066116,13.571784,20.182671,51.051468,14.505352,19.875788,49.842045,0
3.383348,20.199152,19.2188,2.8582416,20.337786,13.468024,4.6389265,20.039328,12.796842,0
9.0688534,21.008144,73.32399,8.2349539,21.972353,92.871468,8.9565639,21.614456,86.710213,1
12.90626,13.673622,6.8862967,12.128214,14.34786,8.1819859,10.143759,14.504645,8.7786732,0
4.0667973,25.466719,290.44431,3.4006588,25.755077,279.52982,3.8884497,25.755415,313.10147,1
6.7812519,20.29771,42.326736,5.7555213,20.899328,52.426044,6.5929475,20.759451,52.796947,0
6.0091786,18.034103,23.199997,3.3505683,18.65036,24.375988,4.2463698,18.381687,27.341568,0
3.7965438,23.24197,165.40268,3.1470845,23.628254,161.84398,3.8340373,23.788445,189.95715,1
5.171833,20.502037,44.7393,5.5724201,20.351183,30.798546,6.294889,19.872528,27.691254,0
5.7266016,20.71097,52.698349,4.6686683,20.969751,51.904327,5.4436159,20.885384,61.20211,0
5.4517431,18.422634,41.218761,3.5231762,18.836962,40.844212,5.8647313,18.439039,43.3936,0
9.4525166,14.394473,0.46888673,7.7386279,14.765179,0.11550252,10.249496,14.325399,0.22077583,0
