prec_smooth1960,tavg_smooth1960,dday30C_smooth1960,prec_smooth1970,tavg_smooth1970,dday30C_smooth1970,prec_smooth1980,tavg_smooth1980,dday30C_smooth1980,prec_smooth1990,tavg_smooth1990,dday30C_smooth1990,prec_smooth2000,tavg_smooth2000,dday30C_smooth2000,Cluster
63.75666,23.68416,69.989937,62.684753,23.537161,62.23254,62.332344,23.709305,72.444847,66.809402,23.364943,61.618042,55.849796,23.886948,77.99823,1
63.348751,21.92485,41.437443,62.562874,21.925335,34.297215,66.842873,21.957455,42.875111,68.171921,21.661245,39.2995,63.585754,22.447111,49.851776,1
64.745255,23.87532,75.912399,61.297169,23.907549,76.412415,66.967949,23.96339,87.4515,67.230759,23.697866,71.618729,55.555828,24.353783,88.773521,1
65.086334,22.032701,51.308102,68.894402,21.96521,44.931339,71.419518,22.281916,58.419968,74.08989,21.866056,46.616085,67.342392,22.767927,64.21521,1
63.057148,22.169607,42.631855,65.292816,22.194036,34.995705,67.201111,22.437063,52.686733,67.087891,21.924204,34.162792,61.877426,22.778685,49.817486,1
93.418358,24.618483,59.668198,79.277344,25.166267,79.263298,101.32086,25.037161,73.543442,89.303741,24.411291,51.298077,84.336586,25.137533,74.284843,1
80.932373,24.135971,72.818947,67.350922,24.357208,85.511322,79.240349,24.297085,83.432083,78.512512,23.659128,54.259483,70.769814,24.4848,84.216393,1
63.169327,24.093107,76.127701,59.629902,23.972189,71.350845,62.900799,24.142393,75.581512,65.69912,23.806505,73.006744,55.12846,24.304075,87.033096,1
63.233932,22.314865,50.41502,64.166222,22.224224,40.639915,68.705147,22.295595,54.142315,68.701057,22.007282,45.717525,61.962021,22.958309,64.07653,1
63.286736,23.782454,71.890518,60.374115,23.800762,71.47126,66.082222,23.758966,81.676994,64.592552,23.521025,63.082981,55.617153,24.231133,84.408714,1
55.861477,23.413204,75.781494,61.994225,23.381411,68.782425,68.306458,23.81669,89.621033,64.888794,23.281216,68.711487,55.900219,24.178413,99.9589,1
70.679184,23.955805,73.371704,65.844444,23.993061,74.23439,65.071159,23.999485,77.766563,67.663002,23.706738,67.282242,63.825386,24.192305,84.229652,1
63.901546,22.266775,49.575657,63.226601,22.003736,38.143841,65.382988,22.322622,56.336678,64.712479,21.964518,37.340359,58.522243,22.529957,54.237759,1
61.566319,23.542685,76.032539,62.369644,23.533365,70.330681,59.403301,23.80615,85.741547,62.293026,23.449047,69.538452,49.836231,23.770851,81.468987,1
61.79351,22.304987,53.480877,65.306152,22.191238,40.961567,69.882362,22.533667,58.989418,62.22554,21.992287,35.911007,65.743286,22.892048,57.96146,1
62.279408,23.139933,75.521896,66.765533,23.037659,62.842682,70.384552,23.361012,78.614845,62.722015,22.878719,59.960548,62.809868,23.633076,86.204826,1
61.702431,23.602913,73.676506,62.612251,23.580896,68.573868,67.898544,23.857346,86.695198,68.83358,23.542332,68.680382,55.810589,24.204439,91.363434,1
61.393238,22.793209,67.162865,64.410408,22.575539,50.772697,68.701363,22.961542,69.541687,62.418518,22.411951,45.91869,60.864265,23.199108,70.228127,1
64.914474,23.242893,60.518299,65.503899,23.07988,52.781513,64.634964,23.276623,64.145905,69.009018,22.846155,50.226063,56.788277,23.393078,68.084877,1
56.281799,23.36253,74.169876,63.266258,23.355083,67.477379,67.813126,23.745203,86.398827,62.520504,23.250238,65.924706,56.036278,24.292435,99.458061,1
62.905762,22.365885,57.383106,66.352196,22.302814,46.438759,69.023277,22.542429,62.326664,69.120232,22.165049,48.543781,66.009415,23.17721,72.479736,1
80.519501,24.171141,91.014679,64.770386,24.319447,93.427765,83.025978,24.409914,99.878159,75.335213,23.842167,67.64283,66.695732,24.542034,98.137787,1
66.676674,23.859417,75.308273,62.006927,23.87735,78.37944,70.854965,23.937147,83.999886,65.779518,23.434019,61.454025,62.271011,24.21476,84.568367,1
66.038956,22.080717,44.875469,68.379593,22.030107,35.666721,71.493324,22.207092,49.571968,73.492935,21.881926,38.661079,67.207413,22.855433,57.707275,1
12.493213,17.984232,40.616024,14.441826,17.115185,30.207096,14.334345,17.375824,31.333849,17.005234,17.717693,25.892048,14.885714,18.427925,39.509121,0
18.174582,23.023003,152.39027,17.978617,22.411589,127.40606,14.88076,22.775438,145.15807,19.721197,22.721598,128.50438,18.67522,23.350405,152.0322,2
9.8629589,19.102018,95.635017,10.869718,18.413309,65.651123,11.234054,18.936127,74.647377,10.963024,19.690008,86.185669,12.840991,19.715904,90.641907,0
12.232,25.153688,264.14291,12.646,24.372581,230.96767,11.996,24.854528,250.20305,17.698,24.829704,223.05504,9.7600002,25.558889,289.56381,2
13.219262,24.089424,204.48116,13.570281,23.310343,169.22832,12.203542,23.549162,183.92238,15.355486,23.489092,160.2943,13.588778,24.281546,208.063,2
14.11848,21.977861,110.39301,15.476258,21.543272,109.58042,12.846045,21.918915,161.77817,17.067091,21.977564,138.22104,15.518833,23.000113,181.25507,2
4.3937521,29.340084,567.1012,4.8527255,28.678646,520.67517,4.9885674,28.92539,533.5769,5.2181306,29.126598,517.22241,4.6247249,29.510231,582.05121,2
6.3968711,28.280666,491.51807,7.650672,27.504562,451.14194,6.1778941,27.9725,471.14151,9.1869297,28.275589,455.85522,7.814394,28.93519,540.92328,2
4.166492,29.689268,602.62402,5.3210759,29.111761,562.0105,6.4229465,29.164886,560.07501,5.4693432,29.582249,573.15338,4.3337908,30.107046,649.74384,2
13.452195,18.549303,48.606968,17.347601,17.689381,43.981953,14.192296,18.41843,44.611042,20.097031,18.604965,36.531528,16.355095,19.29875,53.664024,0
14.580742,26.490791,346.48154,16.167963,25.84874,308.00882,14.589647,26.533527,350.42484,15.349142,26.403021,304.33862,15.755122,26.971064,356.84625,2
7.9238124,27.973513,470.33643,9.7649202,27.197083,428.5668,7.9490199,27.69038,457.19153,10.572827,27.849871,420.65118,9.0162544,28.521393,507.5264,2
25.856932,22.962006,170.45293,24.166025,22.563534,149.7023,21.530741,23.276463,189.38905,27.33889,22.754301,130.64777,23.852425,23.120481,145.28531,2
14.118989,21.616684,147.39063,16.653786,20.680763,125.20181,12.416896,20.868736,128.30072,16.953968,21.298639,120.55563,16.196066,21.782232,154.31506,2
2.7474768,28.467489,505.7001,3.5325854,27.922319,473.22269,3.5910711,28.291906,494.03912,4.3086452,28.480734,472.19986,3.477792,28.789505,528.00153,2
67.362175,23.529242,69.108696,55.772766,23.656801,74.885284,65.939301,23.888876,93.566193,64.163704,23.502798,67.09462,45.386471,24.621929,104.66432,1
71.506744,23.829178,75.704765,62.465164,23.999424,84.324478,65.073196,24.34026,104.75837,68.793953,23.875498,81.433083,54.113613,24.800497,117.56396,1
61.89592,21.52043,46.797138,52.468906,21.500996,55.176678,55.998405,21.763309,72.102798,60.292679,21.147078,48.055904,50.648376,22.104809,70.692993,1
76.932053,21.020809,29.024765,60.383194,21.570511,46.976845,59.629601,21.621546,60.35136,63.106812,21.110773,44.723015,62.180782,22.075109,66.637131,1
66.531815,21.210037,30.233597,55.665962,21.55183,44.799335,59.816017,21.564735,54.796177,65.187317,21.06506,36.333187,53.762051,21.867231,55.528378,3
72.129692,23.873884,89.056755,61.479778,23.497505,80.71817,62.60091,23.517866,96.419159,71.614067,23.189163,71.104477,53.965775,24.154873,103.78261,1
69.532005,23.827682,88.825211,57.23674,23.51119,84.653931,63.160271,23.622477,101.23081,66.845192,23.208376,69.992798,51.28347,24.16853,110.37203,1
69.136208,20.854528,25.899088,56.134037,21.29022,41.42815,60.807919,21.3512,51.826717,65.136421,20.836193,36.390335,57.510544,21.713608,51.384212,3
69.862923,24.004599,85.886208,61.402119,24.163921,89.855545,66.048912,24.356607,104.0711,66.545929,23.910975,79.116173,53.154732,24.972925,121.46452,1
71.921249,23.374956,69.874054,59.966343,23.336088,85.100021,68.228317,23.622526,107.73898,65.960327,23.130241,66.875008,55.145321,24.00292,114.8581,1
56.37146,22.385044,54.729206,59.21265,22.550158,66.217216,53.658802,22.593012,81.918762,54.243141,22.289345,59.850155,55.366508,23.080242,71.44957,1
69.35334,22.02804,53.954803,62.95266,22.080387,55.382294,66.805023,22.383183,79.168411,65.220963,22.062725,55.829273,51.824207,23.077761,90.316544,1
69.376976,23.696991,81.197433,57.530846,23.465246,77.469238,64.345955,23.585369,95.68528,66.320518,23.247238,68.383011,49.728027,24.211569,102.36559,1
69.16806,23.778437,80.429871,59.798328,23.773808,88.527527,62.248379,24.049129,114.2477,69.238899,23.494905,72.192314,50.06955,24.339558,116.97655,1
67.049286,22.804537,69.813118,57.083355,23.021374,81.295982,58.390503,23.095581,105.93824,63.176785,22.587732,73.057274,50.243824,23.452826,107.99005,1
61.852695,22.905174,63.443089,61.941414,23.260899,74.319405,59.319435,23.163055,89.508392,58.590679,22.900084,65.026665,53.511963,23.669849,81.445747,1
69.449455,22.646967,73.390167,58.495167,22.868649,85.133759,57.844154,22.862246,97.751068,67.396027,22.642105,83.581161,57.082405,23.580893,118.02602,1
62.341328,23.074314,57.431675,59.206017,23.41803,65.815186,70.666336,23.470642,79.646049,60.875122,23.155737,60.454472,55.397243,24.00552,77.73423,1
63.99744,22.936092,60.689915,59.548111,23.32737,72.830017,71.029762,23.347954,85.471649,59.990364,23.09164,63.60358,51.075966,23.805449,79.950386,1
70.639351,23.386026,74.36335,56.744003,23.326906,82.117439,68.528687,23.534138,103.55798,63.819855,23.114441,66.317177,51.590103,24.094427,111.09791,1
