prec_smooth1960,tavg_smooth1960,dday32C_smooth1960,prec_smooth1970,tavg_smooth1970,dday32C_smooth1970,prec_smooth1980,tavg_smooth1980,dday32C_smooth1980,prec_smooth1990,tavg_smooth1990,dday32C_smooth1990,prec_smooth2000,tavg_smooth2000,dday32C_smooth2000,Cluster
12.493213,17.984232,16.157125,14.441826,17.115185,12.018917,14.334345,17.375824,11.8477,17.005234,17.717693,9.3884687,14.885714,18.427925,15.944725,0
18.174582,23.023003,80.428871,17.978617,22.411589,64.957542,14.88076,22.775438,77.336128,19.721197,22.721598,63.053608,18.67522,23.350405,77.057236,1
9.8629589,19.102018,48.069183,10.869718,18.413309,29.980705,11.234054,18.936127,35.376663,10.963024,19.690008,42.916508,12.840991,19.715904,44.077324,0
12.232,25.153688,161.6154,12.646,24.372581,138.5898,11.996,24.854528,153.62505,17.698,24.829704,128.40045,9.7600002,25.558889,179.0804,1
13.219262,24.089424,117.31233,13.570281,23.310343,93.28933,12.203542,23.549162,104.7085,15.355486,23.489092,84.493637,13.588778,24.281546,117.21302,1
14.11848,21.977861,50.976059,15.476258,21.543272,53.366859,12.846045,21.918915,90.819588,17.067091,21.977564,71.4589,15.518833,23.000113,99.416199,1
4.3937521,29.340084,407.77353,4.8527255,28.678646,370.07404,4.9885674,28.92539,381.46735,5.2181306,29.126598,362.70319,4.6247249,29.510231,419.16608,1
6.3968711,28.280666,345.44217,7.650672,27.504562,314.4249,6.1778941,27.9725,329.69455,9.1869297,28.275589,311.12772,7.814394,28.93519,383.84918,1
4.166492,29.689268,437.78296,5.3210759,29.111761,404.46848,6.4229465,29.164886,402.8963,5.4693432,29.582249,410.29251,4.3337908,30.107046,475.1319,1
13.452195,18.549303,19.040176,17.347601,17.689381,18.613367,14.192296,18.41843,17.414448,20.097031,18.604965,13.953574,16.355095,19.29875,22.14201,0
14.580742,26.490791,225.06091,16.167963,25.84874,195.96255,14.589647,26.533527,229.87454,15.349142,26.403021,188.34811,15.755122,26.971064,229.47949,1
7.9238124,27.973513,327.85248,9.7649202,27.197083,295.32819,7.9490199,27.69038,318.26263,10.572827,27.849871,282.06421,9.0162544,28.521393,356.16968,1
25.856932,22.962006,94.472298,24.166025,22.563534,81.678963,21.530741,23.276463,109.82924,27.33889,22.754301,65.927788,23.852425,23.120481,74.102493,1
14.118989,21.616684,84.673996,16.653786,20.680763,71.038849,12.416896,20.868736,72.141502,16.953968,21.298639,65.699806,16.196066,21.782232,88.703568,1
2.7474768,28.467489,356.77209,3.5325854,27.922319,331.14828,3.5910711,28.291906,349.38702,4.3086452,28.480734,324.92749,3.477792,28.789505,374.41995,1
67.362175,23.529242,22.391554,55.772766,23.656801,26.911812,65.939301,23.888876,41.257801,64.163704,23.502798,23.723301,45.386471,24.621929,44.204483,1
71.506744,23.829178,24.89937,62.465164,23.999424,30.723616,65.073196,24.34026,44.369915,68.793953,23.875498,29.833858,54.113613,24.800497,52.042179,1
61.89592,21.52043,15.342686,52.468906,21.500996,20.535606,55.998405,21.763309,34.439793,60.292679,21.147078,18.530106,50.648376,22.104809,30.491831,1
76.932053,21.020809,7.0695248,60.383194,21.570511,17.008644,59.629601,21.621546,26.653564,63.106812,21.110773,17.236298,62.180782,22.075109,28.139271,1
