cornyield_smooth1980,cornyield_smooth2000,Cluster
132.17999,148.89999,2
125.46,158.0,2
124.68,155.98,2
129.17999,153.32001,2
104.14,129.38,2
127.48,149.03999,2
128.24001,153.28,2
111.94,137.7,2
131.3,160.74001,2
130.25999,152.17999,2
127.12,156.42,2
103.2,139.58,2
125.6,141.78,2
118.32,148.16,2
129.48,151.36,2
106.02,148.56,2
119.82,151.53999,2
116.92,149.39999,2
118.0,157.34,2
115.1,125.66,2
123.22,150.08,2
128.58,159.62,2
122.8,138.92,2
131.7,151.64,2
117.3,133.78,2
124.28,155.92,2
127.22,138.86,2
96.419998,124.06,2
108.74,154.64,2
107.54,141.58,2
115.74,146.39999,2
109.74,142.38,2
122.52,156.81999,2
109.68,125.98,2
119.34,157.39999,2
98.779999,132.64,2
96.900002,126.48,2
105.78,136.7,2
125.02,151.78,2
124.52,156.66,2
122.0,149.16,2
99.0,123.86,2
128.38,150.34,2
105.5,149.14,2
131.76001,150.5,2
119.7,158.56,2
114.44,139.28,2
118.1,153.86,2
92.339996,122.5,2
112.04,151.42,2
133.17999,171.06,2
111.16,139.04001,2
113.66,162.12,2
128.78,159.3,2
122.6,155.74001,2
92.080002,123.4,2
97.800003,135.3,2
102.36,119.66,2
117.24,132.8,2
111.62,142.22,2
127.28,147.60001,2
99.82,119.94,2
133.64,156.58,2
123.08,150.0,2
116.4,151.98,2
98.339996,137.59999,2
123.42,151.3,2
131.17999,151.46001,2
63.599998,94.599998,1
66.599998,87.0,1
76.800003,99.400002,1
,113.8,3
120.8,134.8,3
61.0,85.0,1
84.400002,113.2,2
,93.400002,1
66.599998,87.199997,1
51.400002,86.199997,1
60.799999,103.4,1
115.2,133.60001,0
,152.0,3
108.2,124.2,1
99.400002,123.2,1
69.0,85.0,1
,,3
,80.599998,1
60.799999,98.0,1
103.6,85.400002,0
70.800003,102.2,1
97.800003,131.39999,2
80.0,101.2,1
127.2,159.0,3
,100.4,1
,74.0,3
,79.0,3
130.8,173.39999,0
120.0,166.2,3
76.400002,83.400002,1
84.800003,110.6,1
114.0,95.400002,0
110.0,96.800003,0
139.2,165.39999,3
133.8,186.39999,3
114.6,95.0,0
72.800003,97.599998,1
120.8,122.8,0
,,3
113.4,136.39999,3
138.8,188.0,3
117.0,125.0,3
67.800003,94.599998,1
77.800003,102.6,1
116.4,112.0,2
74.400002,89.0,1
128.2,154.8,0
,138.0,3
124.6,145.39999,3
63.200001,94.400002,1
111.0,118.0,0
77.400002,89.199997,1
,74.199997,3
69.599998,85.599998,1
115.6,94.0,0
71.400002,78.0,1
116.6,136.0,1
,77.199997,1
73.0,95.800003,1
123.2,188.39999,3
73.599998,85.0,1
96.800003,96.400002,1
60.599998,87.0,1
67.400002,76.199997,1
119.6,146.2,0
72.0,95.199997,2
56.400002,98.199997,1
99.800003,80.800003,3
122.8,92.599998,0
68.800003,82.400002,1
108.6,113.0,3
95.800003,98.0,3
124.4,146.0,3
106.8,77.599998,0
95.400002,112.2,1
128.2,153.0,3
114.4,90.400002,0
102.8,136.0,3
108.8,114.2,2
122.8,120.4,3
90.199997,99.0,1
97.199997,79.800003,3
,105.4,3
59.400002,56.599998,3
,93.599998,1
117.6,130.2,0
114.2,138.39999,3
128.8,171.8,3
88.400002,120.4,1
130.8,145.60001,0
112.4,148.60001,0
112.4,95.800003,1
121.8,133.8,3
125.0,164.39999,3
122.4,173.60001,3
94.800003,79.800003,3
126.8,142.8,0
95.800003,95.199997,3
78.599998,87.400002,1
111.4,126.0,0
90.599998,89.599998,1
116.6,140.8,0
61.0,96.400002,1
63.599998,93.199997,1
80.800003,90.0,1
82.800003,89.800003,2
84.800003,95.800003,1
87.800003,,2
83.599998,119.8,1
86.800003,111.2,1
96.0,114.4,2
,,2
90.400002,118.4,2
105.0,88.400002,2
,,2
92.400002,80.0,2
97.0,,2
93.0,97.400002,2
88.800003,100.4,2
86.599998,121.6,1
85.0,114.0,1
75.599998,112.4,1
87.400002,,2
86.0,124.6,1
94.199997,111.6,2
85.400002,,2
86.400002,103.2,2
90.400002,123.0,1
99.199997,100.8,2
80.199997,,2
80.400002,105.0,2
75.599998,115.0,1
75.0,103.4,2
102.0,123.6,2
82.800003,93.400002,1
