cornyield_smooth1960,cornyield_smooth2000
,
,
,
,
,
,
,
,119.14
,135.25999
,107.66
,
,
,
,127.68
,119.3
,
,117.4
,
,
,
,
,
,109.82
,
,
,
,
,118.2
,
,
,
,
,
,
,
,123.54
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
43.84,
55.119999,109.7
63.34,120.08
45,99.019997
56.040001,129.22
62.880001,108.96
64.339996,112.06
48.799999,95.139999
61.060001,123.8
62.68,97.919998
50.780003,
68.239998,111.02
66.779999,100.28
65.639999,115.02
56.919998,99.139999
46.459999,94.32
60.560001,128.14
48.880001,96
55.599998,131.42
61.779999,108.54
56.220001,91.699997
52.299999,110.44
56.380001,119.6
,
,
,
,
,
,
,
,
,
,
,
,
52.98,120.6
,84.599998
,
45.34,110
,
50.959999,120
63.060001,125
,
64.300003,120.8
64.300003,122.6
62.200001,112.4
60.599998,107
,
,
,
50.880001,
55.380001,115.6
,
,
,
61.52,128.8
,
53.259998,99.800003
46.18,
,
47.040001,85.400002
66.220001,120.2
62.380001,112.2
,
59.900002,128.39999
65.860001,122.2
55.139999,129.2
41.66,
,
52.66,110.2
59.080002,107.4
53.68,112
,
48.779999,117
,
36.5,
54.579998,115.2
,
76.779999,126.4
55.559998,109.4
,
,
51.560001,115.4
,
,
47.259998,
47.099998,109.4
,
53.48,123.6
48.380001,117.6
72.139999,130.2
60.619999,110.2
,
49.18,97
45.439999,102.6
53.700001,
45.060001,
42.66,111.6
,
43.580002,
,
,
48.599998,112.2
,
,
62.52,123.2
49.060001,110.8
60.740002,120.6
53.599998,127.8
,
63.759998,107.4
63.860001,123
46.02,107
61.619999,111.2
65.459999,
,
,
52.599998,111.6
,104.8
,97.199997
,117.4
39.200001,140.2
65.199997,152.8
63.599998,151.60001
,
67.599998,156.2
,104.8
51,157.60001
57.200001,120
40.400002,119
,102.8
54.400002,146.60001
,101.4
62.599998,150.8
62.799999,158.39999
45.599998,132.2
68.800003,150.39999
66.800003,153
66.400002,150.8
69,158.60001
44.400002,149.39999
62.599998,139.39999
72.599998,150
,130.8
52,118.6
,
60.599998,143.60001
,119.4
54.599998,155.2
,92
,
45.400002,140.8
,
,
65.400002,149.8
42.799999,136.39999
49.599998,144
67.400002,156.60001
,113
,93
65.599998,153.39999
57.599998,142
,117.6
,118.6
59.599998,152.39999
52.599998,142.39999
65.599998,158
55.200001,137.60001
,106.8
65.400002,157
38.799999,131
,104.4
,111.4
41.400002,137.2
,108.2
42.599998,152.2
,
,104.8
56,151.39999
58,160
68.400002,151.39999
50,147.2
,88.800003
,
66,149.60001
43.599998,122.6
66.199997,161
44.799999,134.8
65.199997,153.2
43.799999,154.39999
45.599998,153.60001
,114.8
37.599998,150.2
69.599998,161.2
33.799999,110.6
69,154
61,143.39999
61.599998,153.60001
36.200001,124.4
70.800003,158.39999
60,137.8
52,144.39999
28.32,
34,100.16
29.42,
28.779999,
33.799999,92.980003
31.9,138.72
31.5,91.919998
29,99.019997
25.940001,83.68
30.360001,
39.98,116.86
25,
25.66,91.68
40.279999,125.48
34.16,
29.440001,
36.18,110.4
30.52,
31.559999,
31.18,
27.620001,
31.18,97.160004
36.34,
35.639999,
