prec_smooth1980,tavg_smooth1980,dday28C_smooth1980,dday29C_smooth1980,prec_smooth1990,tavg_smooth1990,dday28C_smooth1990,dday29C_smooth1990,prec_smooth2000,tavg_smooth2000,dday28C_smooth2000,dday29C_smooth2000,Cluster
70.163071,23.111282,181.6629,137.40741,71.925346,22.492294,123.58903,86.509766,55.746292,23.493195,192.58553,146.91249,0
66.110634,23.29364,167.53331,123.82036,59.344021,22.985186,134.23129,94.534653,52.028244,23.718359,160.51019,115.57719,0
74.464233,22.219242,135.36633,99.18927,82.627228,21.697611,95.504539,64.862671,64.938232,22.749596,155.30844,115.785,0
54.552052,22.861444,179.70465,136.86484,63.28067,22.297716,136.33661,98.652931,51.080444,23.339365,192.09843,146.71173,0
68.611588,23.583538,171.80887,127.42741,60.896923,23.3909,141.63112,99.587585,44.005177,24.304478,186.72726,137.43065,0
70.556282,23.694532,179.651,134.38603,61.359425,23.315895,140.69914,99.260918,44.170658,24.206753,184.86269,136.37625,0
53.610252,22.557732,154.64272,114.75811,54.738731,22.187006,116.75494,82.140297,52.868568,22.661882,134.96031,96.738068,0
73.4655,23.419458,155.82605,113.13847,61.329422,23.143238,132.91672,92.334152,50.769279,24.049128,167.4776,120.4001,0
71.296051,23.447142,186.98235,141.45204,68.780167,23.272423,153.30646,110.34932,50.720806,23.928247,189.58859,142.30045,0
63.2672,23.123833,197.23123,151.63834,71.055008,22.48868,142.28978,103.2225,59.891109,23.418808,196.31735,150.28464,0
59.448639,21.877947,122.44746,88.893021,62.731018,21.257187,87.701836,59.812683,52.998791,22.152409,129.22577,93.291794,1
58.999088,23.286821,195.21652,149.63269,67.956284,22.90983,161.55095,119.75098,57.127155,23.838179,213.84503,165.26201,0
64.405922,23.856417,220.18471,169.80269,73.804985,23.307178,160.88254,116.90251,55.347691,24.170244,224.6946,173.45622,0
55.349831,22.108061,150.49945,112.62562,59.777332,21.744366,119.94724,85.868973,50.990643,22.672167,161.94833,120.7108,0
60.787251,21.968807,128.08015,93.538208,66.390869,21.584225,98.660896,68.189796,53.490433,22.522539,143.85405,105.1503,0
62.848152,23.982153,195.01817,145.25177,71.082146,23.641298,163.86469,117.70245,52.141693,24.513777,216.34647,163.65002,0
64.92485,22.468489,155.0137,116.20831,65.727264,22.038225,120.91977,86.338341,53.233562,22.953266,168.51912,126.60981,0
61.287575,21.649044,110.84961,79.497452,65.313683,21.257669,91.571236,63.098618,62.734222,22.17905,124.24444,89.226929,1
69.457069,23.300631,173.85931,130.33566,61.806026,23.069883,141.56493,100.88342,48.027309,23.885952,183.7822,136.68365,0
69.922241,23.383341,166.86768,123.54879,60.591946,23.17873,137.54973,96.802475,47.740494,24.008652,173.9332,126.89925,0
54.43082,22.990299,182.4986,139.20418,64.056091,22.604067,144.03462,104.84626,51.608681,23.703848,202.49693,155.18289,0
5.2342691,19.149727,81.211105,59.301052,3.995399,19.55003,77.361328,54.963505,5.4347677,19.429939,94.762894,71.122482,1
8.6358442,13.898628,23.241419,14.101535,8.1587448,14.631623,26.648987,16.254246,7.4323354,14.466222,27.898987,17.131929,1
14.018477,20.268116,151.90683,117.81874,10.109341,20.702438,154.06842,118.44357,13.163928,20.591867,163.1785,126.9254,0
9.9842834,21.1015,168.56026,131.18929,8.7683363,21.945871,208.01007,164.6758,9.5579338,21.507772,198.71059,156.91161,0
12.40554,20.465864,167.17374,130.77094,9.0393114,20.670532,163.02013,126.11626,11.627268,20.785635,180.12022,141.75412,0
6.0728354,21.36459,190.42575,150.12042,5.4936757,22.067917,214.18333,169.79109,6.5417771,21.65629,198.549,156.30624,0
