cornyield_smooth1980,cornyield_smooth2000,Cluster
107.54,141.58,1
115.74,146.39999,1
109.74,142.38,1
122.52,156.81999,1
109.68,125.98,1
119.34,157.39999,1
98.779999,132.64,1
96.900002,126.48,1
105.78,136.7,1
125.02,151.78,1
124.52,156.66,1
122.0,149.16,1
99.0,123.86,1
128.38,150.34,1
105.5,149.14,1
131.76001,150.5,1
119.7,158.56,1
114.44,139.28,1
118.1,153.86,1
92.339996,122.5,1
112.04,151.42,1
133.17999,171.06,1
111.16,139.04001,1
113.66,162.12,1
128.78,159.3,1
122.6,155.74001,1
92.080002,123.4,1
97.800003,135.3,1
102.36,119.66,1
117.24,132.8,1
111.62,142.22,1
127.28,147.60001,1
99.82,119.94,1
133.64,156.58,1
123.08,150.0,1
116.4,151.98,1
98.339996,137.59999,1
123.42,151.3,1
131.17999,151.46001,1
63.599998,94.599998,0
66.599998,87.0,0
76.800003,99.400002,1
,113.8,0
120.8,134.8,0
61.0,85.0,0
84.400002,113.2,1
,93.400002,0
66.599998,87.199997,0
51.400002,86.199997,0
60.799999,103.4,0
115.2,133.60001,1
,152.0,0
108.2,124.2,0
99.400002,123.2,0
69.0,85.0,0
,,0
,80.599998,0
60.799999,98.0,0
103.6,85.400002,1
70.800003,102.2,0
97.800003,131.39999,1
80.0,101.2,1
127.2,159.0,0
,100.4,0
,74.0,0
,79.0,0
130.8,173.39999,0
120.0,166.2,0
76.400002,83.400002,0
84.800003,110.6,0
114.0,95.400002,0
110.0,96.800003,0
139.2,165.39999,0
133.8,186.39999,0
114.6,95.0,1
72.800003,97.599998,0
120.8,122.8,0
,,0
113.4,136.39999,0
138.8,188.0,0
117.0,125.0,0
67.800003,94.599998,1
77.800003,102.6,1
116.4,112.0,1
74.400002,89.0,1
128.2,154.8,0
,138.0,0
124.6,145.39999,0
63.200001,94.400002,0
111.0,118.0,0
77.400002,89.199997,1
,74.199997,0
69.599998,85.599998,0
115.6,94.0,1
71.400002,78.0,1
116.6,136.0,0
,77.199997,0
73.0,95.800003,1
123.2,188.39999,0
73.599998,85.0,1
96.800003,96.400002,0
60.599998,87.0,0
67.400002,76.199997,0
119.6,146.2,0
72.0,95.199997,1
56.400002,98.199997,0
99.800003,80.800003,0
122.8,92.599998,1
68.800003,82.400002,1
108.6,113.0,0
95.800003,98.0,0
124.4,146.0,0
106.8,77.599998,0
95.400002,112.2,0
128.2,153.0,0
114.4,90.400002,1
102.8,136.0,0
108.8,114.2,1
122.8,120.4,0
90.199997,99.0,0
97.199997,79.800003,0
,105.4,0
59.400002,56.599998,0
,93.599998,0
117.6,130.2,0
114.2,138.39999,0
128.8,171.8,0
88.400002,120.4,1
130.8,145.60001,1
112.4,148.60001,1
112.4,95.800003,0
121.8,133.8,0
125.0,164.39999,0
122.4,173.60001,0
94.800003,79.800003,0
126.8,142.8,1
95.800003,95.199997,0
78.599998,87.400002,0
111.4,126.0,1
90.599998,89.599998,0
116.6,140.8,1
61.0,96.400002,0
63.599998,93.199997,0
80.800003,90.0,1
82.800003,89.800003,1
84.800003,95.800003,1
87.800003,,1
83.599998,119.8,1
86.800003,111.2,1
96.0,114.4,1
,,1
90.400002,118.4,1
105.0,88.400002,1
,,1
92.400002,80.0,1
97.0,,1
93.0,97.400002,1
88.800003,100.4,1
86.599998,121.6,1
85.0,114.0,1
75.599998,112.4,1
87.400002,,1
86.0,124.6,1
94.199997,111.6,1
85.400002,,1
86.400002,103.2,1
90.400002,123.0,1
99.199997,100.8,1
80.199997,,1
80.400002,105.0,1
75.599998,115.0,1
75.0,103.4,1
102.0,123.6,1
82.800003,93.400002,1
86.800003,,1
77.599998,85.800003,1
101.2,98.400002,1
93.599998,96.599998,1
84.800003,90.599998,1
86.599998,130.0,0
89.599998,,1
84.599998,92.400002,1
86.599998,,1
80.400002,121.0,1
83.199997,88.800003,1
84.599998,103.0,1
80.199997,85.199997,1
93.599998,124.2,1
93.599998,112.0,1
,,1
99.400002,107.2,1
83.599998,97.599998,1
99.800003,122.8,1
95.199997,99.199997,1
88.199997,122.2,0
88.400002,112.0,1
73.400002,,1
99.0,109.4,1
90.400002,91.599998,1
87.199997,,1
72.800003,103.4,1
94.599998,116.6,1
83.599998,102.8,1
83.199997,,1
78.400002,,1
88.199997,95.0,1
88.0,112.2,1
78.199997,110.6,1
101.0,127.6,1
76.0,112.8,1
82.800003,108.6,0
,,1
101.8,125.4,1
89.199997,108.8,1
77.599998,,1
93.199997,128.2,1
73.0,107.0,0
,,1
101.0,94.400002,1
95.400002,107.8,1
81.0,,1
90.800003,95.400002,1
78.599998,101.0,1
80.199997,97.800003,1
92.800003,90.800003,1
85.0,,1
85.199997,103.0,1
89.800003,117.4,1
87.800003,,1
95.400002,128.39999,1
100.4,123.4,1
87.599998,,1
78.400002,,1
91.400002,105.8,1
,,1
81.0,,1
87.599998,113.0,1
82.199997,,1
86.199997,104.8,1
87.0,,1
81.0,113.4,1
91.0,94.800003,1
94.800003,113.8,1
104.4,119.8,1
92.800003,103.0,1
96.599998,114.0,1
94.599998,125.4,1
83.400002,124.2,1
92.0,,1
106.0,132.60001,1
95.800003,126.6,1
91.199997,105.2,1
95.400002,128.8,1
97.400002,117.0,1
74.199997,107.0,1
88.400002,,1
101.6,107.8,1
,,0
42.0,,0
59.0,,0
,,0
65.019997,105.78,0
53.66,,0
37.34,,0
40.0,,0
56.0,111.36,0
,,0
,,0
,,0
65.779999,110.94,0
46.279999,,0
62.540001,102.02,0
38.34,,0
54.5,,0
,129.46001,0
60.68,,0
60.0,,0
63.48,129.42,0
,,0
,,0
70.620003,,0
36.200001,,0
,,0
69.5,,0
,,0
,,0
34.0,,0
49.0,,0
71.0,119.14,0
,135.25999,0
,107.66,0
,,0
53.34,,0
,,0
72.639999,127.68,0
78.059998,119.3,0
,,0
49.0,117.4,0
,,0
,,0
45.0,,0
,,0
,,0
88.18,109.82,0
63.98,,0
,,0
51.0,,0
58.84,,0
63.0,118.2,0
,,0
,,0
47.0,,0
42.579998,,0
54.599998,,0
,,0
,,0
51.200001,123.54,0
58.220001,,0
,,0
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
86.199997,,1
86.800003,109.7,1
93.599998,120.08,1
76.400002,99.019997,1
93.480003,129.22,1
92.519997,108.96,1
97.599998,112.06,1
78.0,95.139999,1
100.3,123.8,1
88.599998,97.919998,1
93.18,,1
94.400002,111.02,1
97.400002,100.28,1
103.6,115.02,1
92.82,99.139999,1
79.199997,94.32,1
104.34,128.14,1
70.160004,96.0,1
92.400002,131.42,1
102.86,108.54,1
86.760002,91.699997,1
90.199997,110.44,1
92.300003,119.6,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
84.0,,1
,,1
91.68,120.6,1
74.419998,84.599998,1
73.0,,1
94.919998,110.0,1
,,1
91.82,120.0,1
101.0,125.0,1
73.480003,,1
90.68,120.8,1
99.739998,122.6,1
97.860001,112.4,1
96.919998,107.0,1
80.32,,1
78.779999,,1
,,1
74.940002,,1
98.160004,115.6,1
,,1
76.559998,,1
77.0,,1
97.080002,128.8,1
75.900002,,1
92.580002,99.800003,1
80.879997,,1
,,1
70.839996,85.400002,1
104.12,120.2,1
95.160004,112.2,1
76.480003,,1
101.1,128.39999,1
94.540001,122.2,1
98.0,129.2,1
84.559998,,1
,,1
83.139999,110.2,1
90.300003,107.4,1
95.639999,112.0,1
72.68,,1
91.919998,117.0,1
,,1
69.279999,,1
90.519997,115.2,1
79.340004,,1
103.94,126.4,1
89.919998,109.4,1
,,1
78.779999,,1
88.720001,115.4,1
70.959999,,1
,,1
74.419998,,1
80.760002,109.4,1
77.520004,,1
100.6,123.6,1
78.5,117.6,1
102.26,130.2,1
91.360001,110.2,1
79.120003,,1
75.160004,97.0,1
80.739998,102.6,1
82.620003,,1
76.559998,,1
82.620003,111.6,1
,,1
76.639999,,1
79.32,,1
76.659996,,1
94.68,112.2,1
76.599998,,1
,,1
101.46,123.2,1
89.220001,110.8,1
102.46,120.6,1
96.239998,127.8,1
,,1
93.639999,107.4,1
103.0,123.0,1
90.040001,107.0,1
88.660004,111.2,1
91.139999,,1
69.220001,,1
79.800003,,1
85.779999,111.6,1
72.300003,104.8,1
67.0,97.199997,1
86.879997,117.4,1
82.019997,140.2,1
112.6,152.8,1
109.64,151.60001,1
75.660004,,1
110.16,156.2,1
71.800003,104.8,1
95.059998,157.60001,1
82.480003,120.0,1
80.0,119.0,1
66.400002,102.8,1
113.64,146.60001,1
64.199997,101.4,1
107.9,150.8,1
117.64,158.39999,1
75.400002,132.2,1
124.28,150.39999,1
114.72,153.0,1
118.8,150.8,1
113.96,158.60001,1
84.660004,149.39999,1
102.58,139.39999,1
119.8,150.0,1
73.0,130.8,1
86.360001,118.6,1
70.800003,,1
121.22,143.60001,1
78.279999,119.4,1
101.6,155.2,1
,92.0,1
,,1
86.639999,140.8,1
,,1
,,1
108.2,149.8,1
84.199997,136.39999,1
95.0,144.0,1
112.66,156.60001,1
72.199997,113.0,1
63.599998,93.0,1
127.4,153.39999,1
102.52,142.0,1
89.599998,117.6,1
77.599998,118.6,1
118.8,152.39999,1
97.5,142.39999,1
116.74,158.0,1
103.02,137.60001,1
67.800003,106.8,1
113.9,157.0,1
76.220001,131.0,1
59.400002,104.4,1
80.800003,111.4,1
83.300003,137.2,1
70.800003,108.2,1
90.0,152.2,1
89.199997,,1
70.800003,104.8,1
107.98,151.39999,1
110.92,160.0,1
111.86,151.39999,1
106.7,147.2,1
58.400002,88.800003,1
,,1
108.94,149.60001,1
93.440002,122.6,1
116.8,161.0,1
90.400002,134.8,1
115.16,153.2,1
98.400002,154.39999,1
96.099998,153.60001,1
77.599998,114.8,1
69.0,150.2,1
113.8,161.2,1
73.0,110.6,1
123.78,154.0,1
97.18,143.39999,1
122.28,153.60001,1
80.199997,124.4,1
118.84,158.39999,1
98.199997,137.8,1
99.82,144.39999,1
,,0
57.099998,100.16,0
57.099998,,0
47.580002,,0
56.580002,92.980003,0
,138.72,0
49.279999,91.919998,0
52.52,99.019997,0
43.720001,83.68,0
39.799999,,0
50.880001,116.86,0
37.200001,,0
45.639999,91.68,0
,125.48,0
52.799999,,0
42.880001,,0
76.659996,110.4,0
50.34,,0
48.779999,,0
63.68,,0
47.48,,0
47.139999,97.160004,0
40.48,,0
44.200001,,0
47.299999,106.02,0
57.139999,115.74,0
,127.66,0
,127.7,0
52.200001,75.599998,0
47.02,,0
41.900002,,0
40.439999,,0
44.32,,0
43.079998,,0
39.48,,0
48.419998,94.099998,0
45.279999,,0
38.599998,,0
41.919998,,0
43.779999,,0
57.400002,77.099998,0
,127.08,0
56.920002,,0
44.400002,97.779999,0
52.84,110.14,0
44.48,,0
50.220001,89.860001,0
49.380001,86.300003,0
52.579998,94.040001,0
49.040001,,0
45.34,,0
61.740002,110.16,0
56.48,,0
60.260002,103.1,0
48.32,,0
43.200001,,0
55.5,,0
62.18,,0
58.299999,,0
,116.66,0
48.68,104.52,0
47.259998,94.720001,0
,127.26,0
43.380001,,0
39.739998,,0
49.540001,,0
,128.98,0
,126.36,0
60.200001,97.5,0
50.559998,93.459999,0
50.040001,,0
,116.5,0
58.84,89.760002,0
47.0,,0
,127.06,0
,131.36,0
42.52,,0
42.02,87.660004,0
47.939999,,0
44.060001,,0
61.0,99.659996,0
70.220001,122.84,0
85.159996,112.74,1
85.739998,114.68,1
101.74,121.68,1
90.739998,110.0,1
63.939999,107.3,1
76.479996,129.10001,0
68.379997,107.32,1
71.919998,100.76,1
83.620003,106.32,1
80.720001,111.14,1
93.779999,124.16,1
88.559998,123.14,0
80.599998,109.18,1
77.699997,109.9,1
77.959999,,1
92.18,120.08,1
93.599998,128.89999,1
,,1
78.260002,106.04,1
59.900002,104.88,0
87.659996,123.08,1
72.159996,,1
100.7,114.08,1
88.059998,121.02,1
94.379997,113.96,1
80.18,101.12,1
79.279999,108.38,1
61.799999,,1
69.099998,123.84,1
63.279999,,1
90.300003,100.92,1
86.220001,102.82,1
70.220001,,1
57.84,,1
97.160004,135.92,0
75.220001,112.32,1
73.540001,99.540001,1
84.860001,103.36,1
63.540001,85.419998,1
86.800003,112.84,1
86.68,111.3,1
74.300003,88.879997,1
75.360001,,1
96.639999,128.88,1
84.120003,125.25999,1
79.339996,,1
66.839996,,1
81.32,117.64,1
74.199997,122.08,0
79.940002,91.599998,1
79.199997,96.860001,1
97.739998,105.72,1
67.919998,,1
90.959999,125.56,1
61.899998,111.28,1
94.480003,107.52,1
92.5,108.66,1
85.479996,105.56,1
85.32,114.42,1
63.0,,1
82.400002,108.36,1
80.360001,,1
71.639999,86.120003,1
94.239998,120.94,1
93.979996,115.08,1
80.360001,96.459999,1
96.900002,147.5,0
72.82,99.339996,1
85.300003,107.7,1
91.220001,105.6,1
78.139999,93.540001,1
108.22,142.5,0
69.260002,96.519997,1
88.139999,109.46,1
,,1
75.099998,113.94,1
64.400002,,1
97.720001,131.72,0
95.400002,121.52,1
78.660004,100.38,1
77.099998,,1
97.779999,114.3,1
92.139999,122.04,1
60.18,90.599998,1
70.080002,,1
87.459999,107.22,1
88.779999,113.14,1
82.540001,104.88,1
83.279999,122.46,1
67.82,,1
61.32,109.86,0
99.019997,126.98,1
66.120003,94.220001,1
,126.34,1
73.839996,106.54,1
93.739998,125.1,1
93.540001,131.44,1
90.400002,110.34,1
96.760002,113.94,1
102.72,144.01999,1
56.16,,1
90.900002,108.68,1
107.98,138.82001,0
,,1
85.82,104.48,1
,,1
73.459999,,1
68.480003,99.860001,0
92.559998,108.62,1
65.199997,,1
74.82,103.5,1
73.340004,,1
84.200005,106.36,1
74.540001,,1
121.74,154.81999,1
101.38,139.39999,1
112.4,128.28,1
106.62,92.019997,1
103.68,136.3,1
97.220001,138.39999,1
110.36,136.48,1
60.02,84.599998,1
103.56,148.0,1
122.82,158.02,1
95.720001,128.38,1
107.32,128.7,1
94.599998,108.68,1
81.239998,120.62,1
120.68,165.38,1
93.040001,149.74001,1
113.06,118.8,1
124.72,154.92,1
98.639999,133.56,1
88.520004,128.08,1
99.599998,145.01999,1
86.720001,132.17999,1
100.68,109.1,1
126.76,161.46001,1
119.56,104.2,1
80.839996,121.56,1
98.459999,133.42,1
97.040001,128.82001,1
106.86,151.64,1
123.62,150.02,1
120.76,149.42,1
120.34,126.9,1
106.98,117.82,1
100.9,110.88,1
114.6,118.96,1
